city_code,observed_on,rain_mm_7d,rain_mm_30d,source
RUD,2026-09-05,156.9,355.4,open-meteo-era5
NAL,2026-09-05,14.7,43.9,open-meteo-era5
HAZ,2026-09-05,82.2,296.6,open-meteo-era5
MED,2026-09-05,144.1,636.2,open-meteo-era5
BAL2,2026-09-05,69.8,159.9,open-meteo-era5
FYZ,2026-09-05,117.7,327.5,open-meteo-era5
DIN3,2026-09-05,109.9,262.5,open-meteo-era5
POR,2026-09-05,12.5,73.7,open-meteo-era5
BAN,2026-09-05,154.6,516.4,open-meteo-era5
HIN,2026-09-05,9.4,63.1,open-meteo-era5
BEA,2026-09-05,0.8,73.3,open-meteo-era5
ANA3,2026-09-05,6.0,34.3,open-meteo-era5
SER,2026-09-05,4.0,60.6,open-meteo-era5
RAI4,2026-09-05,90.1,494.8,open-meteo-era5
SHA3,2026-09-05,114.5,313.9,open-meteo-era5
BHU3,2026-09-05,1.0,7.9,open-meteo-era5
BAR4,2026-09-05,112.3,377.3,open-meteo-era5
HAJ,2026-09-05,103.1,273.2,open-meteo-era5
SAS,2026-09-05,149.1,422.5,open-meteo-era5
BHI6,2026-09-05,43.7,134.9,open-meteo-era5
BEE,2026-09-05,7.5,57.2,open-meteo-era5
KRI,2026-09-05,101.7,279.9,open-meteo-era5
CHI2,2026-09-05,13.6,66.7,open-meteo-era5
DIB,2026-09-05,118.3,347.6,open-meteo-era5
ABO,2026-09-05,3.4,22.4,open-meteo-era5
